"id","anger","awe","being_moved","boredom","confusion","enchantment","energy","fascination","feeling_of_beauty/liking","feeling_of_ugliness","humor","insight","intellectual_challenge","interest","joy","nostalgia","relaxation","sadness","surprise","uneasiness","vitality"
"0",0,0.5,0.4285714285714285,0.6666666666666666,0,0.625,0.5714285714285714,0.625,0.75,0,0.375,0.2857142857142857,0.25,0.5,0.75,0.2857142857142857,0.5,0,0.125,0,0.4285714285714285
"1",0,0.5,0.4285714285714285,0,0,0.625,0.5714285714285714,0.625,0.875,0,0.375,0.2857142857142857,0.375,0.5,0.75,0.2857142857142857,0.625,0,0.125,0,0.4285714285714285
"2",0,0.5,0.5714285714285714,0.33333333333333337,0.14285714285714285,0.75,0.5714285714285714,0.75,1,0,0.375,0.2857142857142857,0.375,0.75,0.75,0.4285714285714285,0.75,0,0.25,0,0.5714285714285714
"3",0,0.625,0.4285714285714285,0.33333333333333337,0.14285714285714285,0.625,0.2857142857142857,0.75,0.75,0,0.375,0.14285714285714285,0.125,0.625,0.75,0.4285714285714285,0.75,0,0.25,0,0.2857142857142857
"393",0,0.25,0.2857142857142857,0.33333333333333337,0,0.5,0.14285714285714285,0.625,0.75,0,0.5,0,0.125,0.5,0.75,0,0.375,0,0.125,0,0.2857142857142857
"394",0,0.5,0.14285714285714285,0.33333333333333337,0.14285714285714285,0.625,0.4285714285714285,0.75,0.75,0,0.5,0.14285714285714285,0.375,0.75,0.75,0.14285714285714285,0.5,0,0.125,0,0.4285714285714285
"395",0,0.5,0.2857142857142857,0.33333333333333337,0.14285714285714285,0.75,0.5714285714285714,0.75,0.75,0,0.375,0.2857142857142857,0.375,0.5,0.75,0.14285714285714285,0.25,0,0.25,0,0.5714285714285714
"396",0,0.625,0.14285714285714285,0.33333333333333337,0,0.625,0.4285714285714285,0.625,0.75,0,0.375,0.14285714285714285,0.125,0.375,0.75,0,0.125,0,0.125,0,0.4285714285714285
"791",0,0.25,0.4285714285714285,0,0.4285714285714285,0.25,0,0.5,0.5,0,0.125,0.14285714285714285,0.125,0.5,0.25,0.4285714285714285,0,0.5,0.25,0.2857142857142857,0
"792",0,0,0.7142857142857143,0,0.4285714285714285,0,0,0.25,0.375,0.125,0,0.2857142857142857,0.125,0.375,0,0.5714285714285714,0.125,0.75,0.125,0.4285714285714285,0
"793",0,0.25,0.4285714285714285,0.33333333333333337,0,0.5,0,0.375,0.75,0,0.125,0.14285714285714285,0,0.25,0.5,0.2857142857142857,0.75,0,0,0,0
"794",0.20000000000000007,0,0.14285714285714285,0.33333333333333337,0.4285714285714285,0,0.14285714285714285,0.125,0.25,0,0,0,0.125,0.25,0,0,0,0,0,0.2857142857142857,0.14285714285714285
"1191",0,0.5,0.2857142857142857,0,0.14285714285714285,0.5,0.2857142857142857,0.5,0.75,0,0.125,0.14285714285714285,0.25,0.625,0.625,0.2857142857142857,0.75,0,0.125,0,0.2857142857142857
"1192",0,0.625,0.4285714285714285,0,0,0.625,0.14285714285714285,0.625,1,0,0,0.14285714285714285,0.125,0.25,0.75,0.2857142857142857,0.75,0,0.125,0,0.2857142857142857
"1193",0,0.625,0.5714285714285714,0,0,0.75,0.2857142857142857,0.625,1,0,0.125,0.2857142857142857,0.125,0.5,0.75,0.2857142857142857,1,0,0,0,0.2857142857142857
"1194",0,0.625,0.4285714285714285,0.33333333333333337,0,0.75,0.14285714285714285,0.625,1,0,0.125,0.14285714285714285,0.125,0.25,0.75,0.2857142857142857,1,0,0.125,0,0.14285714285714285
"6264",0,0.25,0.14285714285714285,0.9999999999999999,0.4285714285714285,0.125,0,0.25,0.25,0.125,0,0.2857142857142857,0.125,0.375,0,0.5714285714285714,0.25,0.5,0.125,0.4285714285714285,0
"6265",0,0.5,0.2857142857142857,0.33333333333333337,0.4285714285714285,0.5,0.14285714285714285,0.625,0.5,0,0,0.5714285714285714,0.625,0.75,0.125,0.4285714285714285,0.75,0.25,0.25,0.14285714285714285,0.14285714285714285
"6266",0.20000000000000007,0.25,0.2857142857142857,0,0.7142857142857143,0,0,0.5,0.25,0.25,0,0.5714285714285714,0.375,0.5,0,0.2857142857142857,0.125,0.75,0.25,0.7142857142857143,0
"6267",0,0.75,0.4285714285714285,0,0.4285714285714285,0.75,0.2857142857142857,0.75,0.75,0,0.125,0.4285714285714285,0.5,0.75,0.5,0.2857142857142857,0.75,0,0.375,0,0.2857142857142857
"6663",0,0.625,0.4285714285714285,0,0.9999999999999999,0.5,0.2857142857142857,0.625,0.25,0.25,0.125,0.7142857142857143,0.5,0.75,0.25,0.4285714285714285,0,0.375,0.625,0.8571428571428571,0.2857142857142857
"6664",0,0.5,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.5,0,0.625,0.5,0,0,0.2857142857142857,0.25,0.625,0.125,0.4285714285714285,0.75,0.25,0,0.14285714285714285,0
