"id","style","motif","instance","batch_id","target_url"
"794","1006327481","ear-infection","3",0,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/ear_infection_--sref_1006327481_--v_7_221753e6-aa32-4570-9757-e8132a65e193_3.png"
"1192","1006327481","landscape","1",1,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/landscape_--sref_1006327481_--v_7_5c7dd8e1-f2bd-4d75-ab77-d382d92a2a60_1.png"
"396","1006327481","bacteria","3",2,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/bacteria_--sref_1006327481_--v_7_e37f5154-a28a-4328-8170-4f9fd270ac89_3.png"
"793","1006327481","ear-infection","2",3,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/ear_infection_--sref_1006327481_--v_7_221753e6-aa32-4570-9757-e8132a65e193_2.png"
"3","1006327481","antibiotics","3",4,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/antibiotics_--sref_1006327481_--v_7_5a1bece4-47b3-4c41-93b8-606ef927be49_3.png"
"792","1006327481","ear-infection","1",5,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/ear_infection_--sref_1006327481_--v_7_221753e6-aa32-4570-9757-e8132a65e193_1.png"
"394","1006327481","bacteria","1",6,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/bacteria_--sref_1006327481_--v_7_e37f5154-a28a-4328-8170-4f9fd270ac89_1.png"
"0","1006327481","antibiotics","0",7,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/antibiotics_--sref_1006327481_--v_7_5a1bece4-47b3-4c41-93b8-606ef927be49_0.png"
"393","1006327481","bacteria","0",8,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/bacteria_--sref_1006327481_--v_7_e37f5154-a28a-4328-8170-4f9fd270ac89_0.png"
"1193","1006327481","landscape","2",9,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/landscape_--sref_1006327481_--v_7_5c7dd8e1-f2bd-4d75-ab77-d382d92a2a60_2.png"
"791","1006327481","ear-infection","0",10,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/ear_infection_--sref_1006327481_--v_7_221753e6-aa32-4570-9757-e8132a65e193_0.png"
"395","1006327481","bacteria","2",11,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/bacteria_--sref_1006327481_--v_7_e37f5154-a28a-4328-8170-4f9fd270ac89_2.png"
"1191","1006327481","landscape","0",12,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/landscape_--sref_1006327481_--v_7_5c7dd8e1-f2bd-4d75-ab77-d382d92a2a60_0.png"
"2","1006327481","antibiotics","2",13,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/antibiotics_--sref_1006327481_--v_7_5a1bece4-47b3-4c41-93b8-606ef927be49_2.png"
"1194","1006327481","landscape","3",14,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/landscape_--sref_1006327481_--v_7_5c7dd8e1-f2bd-4d75-ab77-d382d92a2a60_3.png"
"1","1006327481","antibiotics","1",15,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/antibiotics_--sref_1006327481_--v_7_5a1bece4-47b3-4c41-93b8-606ef927be49_1.png"
"6664","1014932759","bacteria","1",0,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/bacteria_--sref_1014932759_--v_7_3c1e991e-7ff9-439d-8bb0-3e4d4eef6425_1.png"
"6666","1014932759","bacteria","3",1,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/bacteria_--sref_1014932759_--v_7_3c1e991e-7ff9-439d-8bb0-3e4d4eef6425_3.png"
"7062","1014932759","ear-infection","2",2,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/ear_infection_--sref_1014932759_--v_7_26ef70fe-05eb-4c9a-a4a7-a2736448e3c2_2.png"
"7060","1014932759","ear-infection","0",3,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/ear_infection_--sref_1014932759_--v_7_26ef70fe-05eb-4c9a-a4a7-a2736448e3c2_0.png"
"7063","1014932759","ear-infection","3",4,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/ear_infection_--sref_1014932759_--v_7_26ef70fe-05eb-4c9a-a4a7-a2736448e3c2_3.png"
"6264","1014932759","antibiotics","0",5,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/antibiotics_--sref_1014932759_--v_7_826d1488-89b9-40b1-92cf-28f8ea133394_0.png"
"7461","1014932759","landscape","2",6,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/landscape_--sref_1014932759_--v_7_d7dcacce-7e6b-4ce5-986a-da1fb4fba5ba_2.png"
"6265","1014932759","antibiotics","1",7,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/antibiotics_--sref_1014932759_--v_7_826d1488-89b9-40b1-92cf-28f8ea133394_1.png"
"7459","1014932759","landscape","0",8,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/landscape_--sref_1014932759_--v_7_d7dcacce-7e6b-4ce5-986a-da1fb4fba5ba_0.png"
"6663","1014932759","bacteria","0",9,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/bacteria_--sref_1014932759_--v_7_3c1e991e-7ff9-439d-8bb0-3e4d4eef6425_0.png"
"6267","1014932759","antibiotics","3",10,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/antibiotics_--sref_1014932759_--v_7_826d1488-89b9-40b1-92cf-28f8ea133394_3.png"
"7460","1014932759","landscape","1",11,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/landscape_--sref_1014932759_--v_7_d7dcacce-7e6b-4ce5-986a-da1fb4fba5ba_1.png"
"6266","1014932759","antibiotics","2",12,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/antibiotics_--sref_1014932759_--v_7_826d1488-89b9-40b1-92cf-28f8ea133394_2.png"
"7462","1014932759","landscape","3",13,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/landscape_--sref_1014932759_--v_7_d7dcacce-7e6b-4ce5-986a-da1fb4fba5ba_3.png"
"6665","1014932759","bacteria","2",14,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/bacteria_--sref_1014932759_--v_7_3c1e991e-7ff9-439d-8bb0-3e4d4eef6425_2.png"
"7061","1014932759","ear-infection","1",15,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_top_month/ear_infection_--sref_1014932759_--v_7_26ef70fe-05eb-4c9a-a4a7-a2736448e3c2_1.png"
"398","1017203228","bacteria","1",0,"https://res.cloudinary.com/dt2gsbmrj/image/upload/w_512/q_auto/f_auto/aesthetic_emotions_map/midjourney_session_2025_12_10_hot/bacteria_--sref_1017203228_--v_7_57b961b0-76f4-4d8c-aeaf-05987c540e69_1.png"
